 馬名,Ｃ,性齢,状態,厩舎,着度数,収得賞金,種牡馬,母名,馬主,生産者,生産地,馬記号,生年,誕生日,血統登録番号,取引価格,馬名の意味由来,欧字馬名
シュンクルーズ,,牡2,在厩,(美)畠山重則, 0- 0- 0- 1,0,タイキシャトル,タイキミューズ,村田滋,パカパカファーム,新冠町,,2012,4月9日,2012106162,136.5万円,人名より＋航海,"Shun Cruise"
ハイアーヴォルト,,牡2,在厩,(美)尾形充弘, 0- 0- 0- 0,0,メイショウボーラー,リングフィンガー,伊東純一,昭和牧場,浦河町,,2012,3月2日,2012106252,315万円,より高い跳躍,"Higher Vault"
ナンゴクオージ,,牡2,在厩,(美)加藤和宏, 0- 0- 0- 0,0,パイロ,セイウンヒメラギ,平本敏夫,川上牧場,新冠町,,2012,4月27日,2012106424,,南国＋王子,"Nangoku Oji"
テイエムクロウサギ,,牡2,在厩,(栗)五十嵐忠, 0- 0- 0- 0,0,ブラックタイド,テイエムナチュラル,竹園正繼,テイエム牧場,鹿児島県,,2012,3月17日,2012109182,,冠名＋クロウサギ,"T M Kurousagi"
キンシノホマレ,,牡2,在厩,(栗)浅見秀一, 0- 0- 0- 0,0,ケイムホーム,フローリスピース,若草クラブ,川上牧場,新冠町,,2012,4月7日,2012100152,1134万円,冠名＋名誉,"Kinshino Homare"
レオロフティー,,牡2,在厩,(美)小野次郎, 0- 0- 0- 0,0,ゼンノロブロイ,エシュクアルバー,レオ,川島牧場,新冠町,,2012,4月2日,2012100162,,冠名＋高尚な,"Leo Lofty"
ヤマニントライブ,,牡2,在厩,(栗)石橋守, 0- 0- 0- 0,0,チチカステナンゴ,ヤマニンファビュル,土井肇,錦岡牧場,新冠町,,2012,5月9日,2012100572,,冠名＋一族,"Yamanin Tribe"
カラトラバ,,牡2,在厩,(栗)橋口弘次, 0- 0- 0- 0,0,クロフネ,カーナヴァル,前田晋二,ノースヒルズ,新冠町,,2012,2月24日,2012100584,,１２世紀のスペインで設立された戦闘騎士団の名,Calatrava
マイネルシュバリエ,,牡2,在厩,(美)和田正道, 0- 0- 0- 0,0,バトルプラン,マイネポリーヌ,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,新冠町,,2012,4月23日,2012100734,,冠名＋騎士（仏）,"Meiner Chevalier"
ユンゼイ,,牡2,在厩,(美)矢野英一, 0- 0- 0- 0,0,ゴールドアリュール,マルティプライ,大塚亮一,村上雅規,新冠町,,2012,3月13日,2012100872,1296万円(他),弓を射る力の強さ、弓を引き張る力,Yunzei
アフリカーナ,,牡2,在厩,(美)勢司和浩, 0- 0- 0- 0,0,ヨハネスブルグ,ヒカルリクエスト,熊田晋作,山岡ファーム,新冠町,,2012,5月22日,2012100930,,アフリカーナ人。父名より連想,Afrikaner
カシノポッケ,,牡2,在厩,(栗)藤沢則雄, 0- 0- 0- 0,0,ジャングルポケット,フリートゥビー,柏木務,坂牧場,日高町,,2012,5月1日,2012101256,315万円,冠名＋ポケットの別名,"Kashino Pokke"
ブラックムーン,,牡2,在厩,(栗)西浦勝一, 0- 0- 0- 0,0,アドマイヤムーン,ロイヤルアタック,"Him Rock Racing",タバタファーム,日高町,,2012,5月2日,2012101505,,黒い月,"Black Moon"
クリアスカイ,,牡2,在厩,(栗)中竹和也, 0- 0- 0- 0,0,ディープスカイ,ヴェルヴェットクイーン,H.H.シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,2012,4月10日,2012101524,,澄み渡った空,"Clear Sky"
フェンリル,,牡2,在厩,(美)手塚貴久, 0- 0- 0- 0,0,タニノギムレット,フェンスイ,H.H.シェイク・モハメド,ダーレー・ジャパン・ファーム,日高町,,2012,5月1日,2012101587,,北欧神話に登場する狼,Fenrir
メイショウクオン,,牡2,不在,(栗)角田晃一, 0- 0- 0- 0,0,メイショウサムソン,ビオジオズベイビー,松本好隆,千葉飯田牧場,日高町,,2012,2月15日,2012101624,745.5万円,冠名＋久遠。ある事柄がいつまでも続くこと,"Meisho Kuon"
ウインジラソーレ,,牡2,在厩,(栗)梅田智之, 0- 0- 0- 0,0,マツリダゴッホ,プラチナウィンク,ウイン,野島牧場,日高町,,2012,3月30日,2012101740,,冠名＋ひまわり（伊）。画家ゴッホの代表作。父の代表産駒に,"Win Girasole"
ナヴィオン,,牡2,在厩,(栗)橋口弘次, 0- 0- 0- 0,0,ハーツクライ,ユキノスイトピー,橋口博,浜本牧場,日高町,,2012,4月9日,2012101775,,軽飛行機名より,Navion
テイエムダイバート,,牡2,在厩,(栗)岩元市三, 0- 0- 0- 0,0,タイキシャトル,ラリマー,竹園正繼,広富牧場,日高町,,2012,4月1日,2012101844,640.5万円,冠名＋代替空港着陸,"T M Divert"
ワンパクチョウサン,,牡2,在厩,(美)和田正道, 0- 0- 0- 0,0,ステイゴールド,シャドウシルエット,チョウサン,坂東牧場,平取町,,2012,4月29日,2012102126,,わんぱく＋冠名,"Wampaku Chosan"
ルチオピーピーノ,,牡2,在厩,(美)南田美知, 0- 0- 0- 0,0,サムライハート,ピサノマイセン,静内白井牧場,金舛幸夫,新ひだか町,,2012,5月12日,2012102255,210万円,光（西）＋人名愛称,"Lucio Pipino"
ブルーガーディアン,,牡2,在厩,(栗)石橋守, 0- 0- 0- 0,0,マーベラスサンデー,ブルーポラリス,ブルーマネジメント,加野牧場,新ひだか町,,2012,3月28日,2012102265,,冠名＋守護者,"Blue Guardian"
サノノゲーム,,牡2,在厩,(美)中野栄治, 0- 0- 0- 0,0,ハイアーゲーム,ザペキンハート,ビジョンサラブレッドクラブ,荒木貴宏,新ひだか町,,2012,2月16日,2012102665,189万円,人名より＋ゲーム、父名の一部,"Sanono Game"
バッドイナフ,,牡2,在厩,(美)武井亮, 0- 0- 0- 0,0,ファルブラヴ,メビウスリング,グリーンスウォード,鹿嶋牧場,新ひだか町,,2012,3月2日,2012102790,84万円,これ以上悪くならない,"Bad Enough"
ギンザミラージュ,,牡2,在厩,(美)伊藤圭三, 0- 0- 0- 0,0,カネヒキリ,イサミフラワー,有馬博文,坂本春雄,新ひだか町,,2012,4月24日,2012102928,472.5万円,冠名＋フランスの戦闘機名より,"Ginza Mirage"
モントルルシュマン,,牡2,在厩,(栗)今野貞一, 0- 0- 0- 0,0,スウェプトオーヴァーボード,サトノサクラ,藤井亮輔,千代田牧場,新ひだか町,,2012,2月2日,2012103156,810万円,手本を示す（仏）,"Montre le Chemin"
ミッキーハピネス,,牡2,在厩,(栗)佐々木晶, 0- 0- 0- 0,0,シンボリクリスエス,ラブアンドピース,野田みづき,千代田牧場,新ひだか町,,2012,4月4日,2012103223,2415万円,冠名＋幸福,"Mikki Happiness"
フェイバーシチー,,牡2,在厩,(栗)佐々木晶, 0- 0- 0- 0,0,クロフネ,ピサノレインボー,友駿ホースクラブ,飛野牧場,新ひだか町,,2012,3月23日,2012103288,1312.5万円,恩恵＋冠名。沢山の恵みを得られるように,"Favor City"
ロマンホープ,,牡2,在厩,(美)石毛善彦, 0- 0- 0- 0,0,ブライアンズタイム,クロノグラフ,菅實,友田牧場,新ひだか町,,2012,4月28日,2012103295,756万円(他),冠名＋希望。これからの人生に希望を与えて頂くことを願い,"Roman Hope"
ニホンピロサンダー,,牡2,在厩,(栗)田所秀孝, 0- 0- 0- 0,0,ヴァーミリアン,ニホンピロエミリー,小林百太郎,友田牧場,新ひだか町,,2012,5月26日,2012103296,,冠名＋雷,"Nihonpiro Thunder"
ボナフォルトゥーナ,,牡2,在厩,(美)武藤善則, 0- 0- 0- 0,0,ダイワメジャー,アレグリアス,佐々木雄二,橋本牧場,新ひだか町,,2012,4月16日,2012103365,,あなたに幸運を（伊）,"Buona Fortuna"
ジャストフォーユー,,牡2,在厩,(美)栗田徹, 0- 0- 0- 0,0,スペシャルウィーク,トーセンフォーユー,ノルマンディーサラブレッドレーシング,岡田スタツド,新ひだか町,,2012,1月31日,2012103656,,心を込めて。母名より連想,"Just for You"
ブラウンシップ,,牡2,在厩,(美)栗田博憲, 0- 0- 0- 0,0,クロフネ,ミスセイラン,谷研司,青藍牧場,登別市,,2012,3月29日,2012103846,,褐色の船。父名より連想,"Brown Ship"
ゼツミョウ,,牡2,在厩,(美)高橋文雅, 0- 0- 0- 0,0,ソングオブウインド,ユーモレスク,内田玄祥,真壁信一,むかわ町,,2012,5月23日,2012103891,294万円,この上なく優れていること,Zetsumyo
フクノシャイン,,牡2,不在,(美)高橋文雅, 0- 0- 0- 0,0,タニノギムレット,メジロベイシンガー,福島祐子,レイクヴィラファーム,洞爺湖町,,2012,3月27日,2012103947,178.5万円,冠名＋輝く,"Fukuno Shine"
ジュヒョウ,,牡2,在厩,(栗)高野友和, 0- 0- 0- 0,0,ステイゴールド,アスピリンスノー,グリーンファーム,社台ファーム,千歳市,,2012,2月27日,2012104119,,樹氷。母名より連想,Juhyo
ミュゼダルタニアン,,牡2,在厩,(美)高市圭二, 0- 0- 0- 0,0,ハービンジャー,アルテシア,高橋仁,社台ファーム,千歳市,,2012,5月15日,2012104129,2052万円,冠名＋小説の登場人物名,"Musee d'Artagnan"
ロンバルディア,,牡2,在厩,(美)畠山吉宏, 0- 0- 0- 0,0,マンハッタンカフェ,アンプレショニスト,村野康司,社台ファーム,千歳市,,2012,2月23日,2012104133,,イタリアのミラノを州都とする州名,Lombardia
ステイリッチ,,牡2,在厩,(美)加藤征弘, 0- 0- 0- 0,0,ステイゴールド,イスラコジーン,宇田豊,社台コーポレーション白老ファーム,白老町,,2012,5月7日,2012104136,6510万円,父名の一部＋豊か,"Stay Rich"
パストラーレ,,牡2,在厩,(栗)高橋義忠, 0- 0- 0- 0,0,ゴールドアリュール,キャッツプライド,三田昌宏,社台ファーム,千歳市,,2012,4月25日,2012104193,2268万円,牧歌的な音楽（独）,Pastorale
スループオブウォー,,牡2,在厩,(美)伊藤大士, 0- 0- 0- 0,0,ハーツクライ,スムーズセイリング,G1レーシング,社台コーポレーション白老ファーム,白老町,,2012,3月7日,2012104267,,戦闘用の帆走,"Sloop of War"
フェスタジュニーナ,芳,牡2,在厩,(美)二ノ宮敬, 0- 0- 0- 0,0,ステイゴールド,ディアウィンク,社台レースホース,社台ファーム,千歳市,,2012,4月16日,2012104301,,ブラジルで行われる６月の祭り,"Festa Junina"
ローレンアイザック,,牡2,在厩,(美)菅原泰夫, 0- 0- 0- 0,0,エンパイアメーカー,ホープダイナスティ,保坂義貞,社台ファーム,千歳市,,2012,5月11日,2012104397,1404万円,アメリカの学校名より＋冠名,"Lawren Isaac"
レッドルモンド,,牡2,不在,(美)藤沢和雄, 0- 0- 0- 0,0,ゼンノロブロイ,カロンセギュール,東京ホースレーシング,ノーザンファーム,安平町,,2012,4月4日,2012104582,4200万円,冠名＋世界（仏）。ワールドワイドな活躍を期待して,"Red le Monde"
ダノンリバティ,,牡2,在厩,(栗)音無秀孝, 0- 0- 0- 0,0,キングカメハメハ,スカーレットベル,ダノックス,ノーザンファーム,安平町,,2012,2月29日,2012104672,7770万円,冠名＋自由。自由奔放な活躍を願って,"Danon Liberty"
ミッキーシーガル,,牡2,在厩,(栗)池江泰寿, 0- 0- 0- 0,0,ネオユニヴァース,ラリズ,野田みづき,ノーザンファーム,安平町,,2012,2月4日,2012104901,4515万円,冠名＋かもめ,"Mikki Seagull"
