 馬名,Ｃ,性齢,状態,厩舎,着度数,収得賞金,種牡馬,母名,馬主,生産者,生産地,馬記号,生年,誕生日,血統登録番号,取引価格,馬名の意味由来,欧字馬名
オウキュウ,,牝2,不在,(栗)日吉正和, 0- 0- 0- 2,0,プリサイスエンド,ブライティアバード,重松國建,北俣牧場,浦河町,,2012,5月15日,2012105816,,王宮,Okyu
モンサンビアンカ,,牝2,不在,(美)菊沢隆徳, 0- 0- 0- 0,0,キンシャサノキセキ,エーピーサルート,山下新一,秋田牧場,新冠町,,2012,3月20日,2012100018,,冠名＋喜劇「じゃじゃ馬ならし」の登場人物名,"Mont Saint Bianca"
アラホウジョウ,,牝2,在厩,(美)高橋裕, 0- 0- 0- 2,0,マンハッタンカフェ,アラマサダンサー,アラキファーム,アラキフアーム,新冠町,,2012,3月20日,2012100042,,冠名＋豊饒。土地が肥え実ること,"Ara Hojo"
ゲルズ,,牝2,在厩,(美)小野次郎, 0- 0- 0- 0,0,エンパイアメーカー,タケカワルキューレ,杉澤光雄,小泉牧場,新冠町,,2012,2月22日,2012100210,,北欧神話に登場する美しい女巨人,Gerth
タマモカチューシャ,,牝2,在厩,(美)水野貴広, 0- 0- 0- 0,0,マツリダゴッホ,チャームキャップ,タマモ,小泉牧場,新冠町,,2012,3月18日,2012100211,,冠名＋頭飾り,"Tamamo Katyusha"
キミトアエタキセキ,,牝2,抹消,(栗)清水久詞, 0- 0- 0- 0,0,ネオユニヴァース,プラントパラダイス,山口正行,小泉牧場,新冠町,,2012,4月19日,2012100213,,君と会えた奇跡,"Kimito Aeta Kiseki"
ウインマハロ,,牝2,不在,(美)斎藤誠, 0- 0- 0- 0,0,マツリダゴッホ,イクスキューズ,ウイン,コスモヴューファーム,新冠町,,2012,4月6日,2012100225,,冠名＋ありがとう（ハワイ語）。母名より連想,"Win Mahalo"
ウインアキレア,,牝2,在厩,(栗)加用正, 0- 0- 1- 0,0,コンデュイット,コスモヴァレンチ,ウイン,コスモヴューファーム,新冠町,,2012,3月7日,2012100229,,冠名＋花の名。花言葉は「勇敢」。母名より連想,"Win Achillea"
ショッキングカラー,,牝2,不在,(美)相沢郁, 0- 0- 0- 0,0,サムライハート,セイカパンジー,長谷川彰,シンユウフアーム,新冠町,,2012,3月5日,2012100304,,刺激的な色,"Shocking Color"
パイグリン,,牝2,不在,(栗)飯田雄三, 0- 0- 0- 0,0,ステイゴールド,パイアン,西森鶴,隆栄牧場,新冠町,,2012,3月3日,2012100339,,母名より＋はにかむ,"Pai Grin"
ソニック,,牝2,在厩,(栗)坂口正則, 0- 0- 0- 2,0,ネオユニヴァース,プリッシーブリッチーズ,高瀬牧場,高瀬牧場,新冠町,,2012,3月29日,2012100343,,超音速,Sonic
ビバサンライズ,,牝2,在厩,(美)中野栄治, 0- 0- 0- 0,0,タニノギムレット,ローレルプリンセス,桐谷茂,高瀬牧場,新冠町,,2012,2月27日,2012100344,,万歳（伊）＋朝日,"Viva Sunrise"
グレイスミノル,,牝2,不在,(栗)本田優, 0- 0- 0- 0,0,バゴ,シャンハイレディ,吉岡實,武田牧場,新冠町,,2012,3月24日,2012100358,1365万円,優雅＋冠名,"Grace Minoru"
ラウレアワヒネ,,牝2,不在,(栗)池添兼雄, 0- 0- 0- 0,0,グラスワンダー,プリティタヤス,横瀬兼二,対馬正,新冠町,,2012,3月4日,2012100415,,平和、幸福（ハワイ語）＋女性（ハワイ語）,"Laulea Wahine"
マイティディーバ,,牝2,不在,(美)和田正道, 0- 0- 0- 0,0,バトルプラン,ラヴリゼット,古賀和夫,対馬正,新冠町,,2012,3月29日,2012100417,,最強の歌姫,"Mighty Diva"
パーソナルホウセキ,,牝2,在厩,(美)菅原泰夫, 0- 0- 0- 0,0,パーソナルラッシュ,キョウワセイラン,鈴木芳夫,辻和明,新冠町,,2012,4月22日,2012100419,157.5万円,父名の一部＋母母名の一部,"Personal Hoseki"
アラビアンハート,,牝2,不在,(美)岩戸孝樹, 0- 0- 0- 0,0,サムライハート,スイートヒカル,吉田勝利,つつみ牧場,新冠町,,2012,5月5日,2012100422,,冠名＋父名の一部,"Arabian Heart"
エルモディオーサ,,牝2,抹消,(美)上原博之, 0- 0- 0- 0,0,クロフネ,キョウワノメガミ,小林祥晃,飛渡牧場,新冠町,,2012,4月15日,2012100432,315万円,美しい（西）より＋女神（西）,"Hermo Diosa"
バトルヴィゴーレ,,牝2,不在,(美)牧光二, 0- 0- 0- 0,0,キングヘイロー,レディジェーン,宮川秋信,飛渡牧場,新冠町,,2012,4月25日,2012100438,,冠名＋力（伊）,"Battle Vigore"
